dec 21st 2012 will be know not as the end of the world but the Baby Boom! #2012shit	dec @number @number will be know not as the end of the world but the baby boom @number	dec,@number,@number,will,be,know,not,as,the,end,of,the,world,but,the,baby,boom,@number	neutral
@MacMiller hate my life, because i can't see you at the roskilde festival on saturday, promise me to come back again, SOON.	@macmiller hate my life because i cannot see you at the roskilde festival on saturday promise me to come back again soon	@macmiller,hate,my,life,because,i,cannot,see,you,at,the,roskilde,festival,on,saturday,promise,me,to,come,back,again,soon	negative
Checked out Our Lady Peace at Bluesfest tonight and spending the day at the beach for HOPE volleyball tomorrow. Gotta love summer weekends!	checked out our lady peace at bluesfest tonight and spending the day at the beach for hope volleyball tomorrow gotta love summer weekends	checked,out,our,lady,peace,at,bluesfest,tonight,and,spending,the,day,at,the,beach,for,hope,volleyball,tomorrow,gotta,love,summer,weekends	positive
Hello from the Foundation Trekkers! We're up in chilly Haltwhistle getting ready to trek Hadrian's wall tomorrow :-) http://t.co/MmRnhLAL	hello from the foundation trekkers we're up in chilly haltwhistle getting ready to trek hadrian's wall tomorrow @emoticon:-) @link	hello,from,the,foundation,trekkers,we're,up,in,chilly,haltwhistle,getting,ready,to,trek,hadrian's,wall,tomorrow,@emoticon:-),@link	positive
Tomorrow we will be proud to play at the Remembrance Service at South Hetton church	tomorrow we will be proud to play at the remembrance service at south hetton church	tomorrow,we,will,be,proud,to,play,at,the,remembrance,service,at,south,hetton,church	positive
Impulsively bought Resident Evil: Operation Raccoon City. Probably won't play it till tomorrow though. Have so much editing to do with 06.	impulsively bought resident evil operation raccoon city probably wo_not play it till tomorrow though have so much editing to do with @number	impulsively,bought,resident,evil,operation,raccoon,city,probably,wo_not,play,it,till,tomorrow,though,have,so,much,editing,to,do,with,@number	negative
Just arriving in madrid from Moscow Tomorrow going to HVar, Croatia	just arriving in madrid from moscow tomorrow going to hvar croats	just,arriving,in,madrid,from,moscow,tomorrow,going,to,hvar,croats	neutral
Just packing for a weekend in Liverpool and the small matter of a marathon on Sunday. First up though...Blackpool Illuminations!	just packing for a weekend in liverpool and the small matter of a marathon on sunday first up though blackpool illuminations	just,packing,for,a,weekend,in,liverpool,and,the,small,matter,of,a,marathon,on,sunday,first,up,though,blackpool,illuminations	neutral
Your plans of attending the Great Yorkshire Show may have been washed out because of the weather, so how about... http://t.co/fEsAtbk8	your plans of attending the great yorkshire show may have been washed out because of the weather so how about @link	your,plans,of,attending,the,great,yorkshire,show,may,have,been,washed,out,because,of,the,weather,so,how,about,@link	negative
By the end of today I will have worked 14hrs, done my workout and attended part of Hot Jam. Hitting the ground running this Monday.	by the end of today i will have worked @number done my workout and attended part of hot jam hitting the ground running this monday	by,the,end,of,today,i,will,have,worked,@number,done,my,workout,and,attended,part,of,hot,jam,hitting,the,ground,running,this,monday	neutral
Check out this weeks the @SixersBBL Scoop column looking back on Sat Nights win over the Thunder! http://t.co/lRto77al #smashemsixers #BBL02	check out this weeks the @sixersbbl scoop column looking back on sat nights win over the thunder @link smashemsixers bbl @number	check,out,this,weeks,the,@sixersbbl,scoop,column,looking,back,on,sat,nights,win,over,the,thunder,@link,smashemsixers,bbl,@number	neutral
Three day weekend a head. Tonight Grand Bend forracing, Saturday Grand Bend with the inlaws more racing. Sunday first #Sting game for us.	@number day weekend a head tonight grand bend forracing saturday grand bend with the inlaws more racing sunday first sting game for us	@number,day,weekend,a,head,tonight,grand,bend,forracing,saturday,grand,bend,with,the,inlaws,more,racing,sunday,first,sting,game,for,us	positive
Have you been inspired by Ironman Wales? Why not give triathlon a go by taking part in the Fishguard Go Tri on Sunday. http://t.co/lDfNW2fG	have you been inspired by ironman wales why not give triathlon a go by taking part in the fishguard go tri on sunday @link	have,you,been,inspired,by,ironman,wales,why,not,give,triathlon,a,go,by,taking,part,in,the,fishguard,go,tri,on,sunday,@link	positive
I've found lyrics of Kiryu - Kaika!!! YES!!! but I've sat down to listen a song and write it already...))	i've found lyrics of kiryu kaska yes but i've sat down to listen a song and write it already	i've,found,lyrics,of,kiryu,kaska,yes,but,i've,sat,down,to,listen,a,song,and,write,it,already	positive
Jonathan Kozol is the leading author on educational advocacy and social equality. He will be on campus Wednesday,... http://t.co/nteU8d3w	jonathan kozol is the leading author on educational advocacy and social equality he will be on campus wednesday @link	jonathan,kozol,is,the,leading,author,on,educational,advocacy,and,social,equality,he,will,be,on,campus,wednesday,@link	neutral
@nurinqistinaa @hannahban4na That's the 1st.2nd: Nadia &amp; Mysa about Mysa break dgn Adam. 3rd: this bullshit thingy -.-	@nurinqistinaa @hannahban4na that's the @number @number nadia & mysa about mysa break dgn adam @number this bullshit thingy	@nurinqistinaa,@hannahban4na,that's,the,@number,@number,nadia,&,mysa,about,mysa,break,dgn,adam,@number,this,bullshit,thingy	negative
Thanks to all those who joined UYSA and the University of Utah in celebrating Youth Soccer Month last Saturday,... http://t.co/39jQBGV8	thanks to all those who joined uysa and the university of utah in celebrating youth soccer month last saturday @link	thanks,to,all,those,who,joined,uysa,and,the,university,of,utah,in,celebrating,youth,soccer,month,last,saturday,@link	positive
@pkollar Well it was either that or watch you play Raccoon City, so.. I think I may have won?	@pkollar well it was either that or watch you play raccoon city so .. i think i may have won	@pkollar,well,it,was,either,that,or,watch,you,play,raccoon,city,so,..,i,think,i,may,have,won	positive
Day 1 at the SoCal College Fair @ Pomona Fairplex--1st person to get to our booth &amp; say "your story matters" wins something special! #doit	day @number at the socal college fair @ corona fairplex @number person to get to our booth & say your story matters wins something special doit	day,@number,at,the,socal,college,fair,@,corona,fairplex,@number,person,to,get,to,our,booth,&,say,your,story,matters,wins,something,special,doit	positive
De La Soul's First Serve project with Live Band debuts this Thu 18th in Meeting House Square, ONRA supports on MPC  http://t.co/DN2SfycQ!!!	de la soul's first serve project with live band debuts this thu @number in meeting house square onya supports on mac @link	de,la,soul's,first,serve,project,with,live,band,debuts,this,thu,@number,in,meeting,house,square,onya,supports,on,mac,@link	neutral
@keccles653 I just googled it haha Catelynn and Tyler met first and butch and April have been married but they got divorced	@keccles653 i just googled it hata catelynn and tyler met first and butch and april have been married but they got divorced	@keccles653,i,just,googled,it,hata,catelynn,and,tyler,met,first,and,butch,and,april,have,been,married,but,they,got,divorced	neutral
Anybody going to that 4th of July pool party in Knollwood?	anybody going to that @number of july pool party in knollwood	anybody,going,to,that,@number,of,july,pool,party,in,knollwood	neutral
Team CK vs Demolition on November 17th at the American Legion Post 80, Main St. in Binghamton NY. Get your tickets now! http://t.co/BieEefZD	team ck vs demolition on @number at the american legion post @number main st in binghamton ny get your tickets now @link	team,ck,vs,demolition,on,@number,at,the,american,legion,post,@number,main,st,in,binghamton,ny,get,your,tickets,now,@link	positive
@GMA My daughter @jordynking17 will be 14 on December 17th! We r going to see Buddy @ The Kirby Center in WB on December 14th. So excited!	@gma my daughter @jordynking17 will be @number on december @number we r going to see buddy @ the kirby center in wb on december @number so excited	@gma,my,daughter,@jordynking17,will,be,@number,on,december,@number,we,r,going,to,see,buddy,@,the,kirby,center,in,wb,on,december,@number,so,excited	positive
#tunewiki "How to See the Sun Rise" by Ben Sollee http://t.co/NGmKGoS1	tunewiki how to see the sun rise by ben sollee @link	tunewiki,how,to,see,the,sun,rise,by,ben,sollee,@link	neutral
Morning!!!! Soundset was popin and hot as a tity but time to waken bake easy the sun burn haaa	morning soundset was popin and hot as a tity but time to waken bake easy the sun burn hata	morning,soundset,was,popin,and,hot,as,a,tity,but,time,to,waken,bake,easy,the,sun,burn,hata	positive
Teddy Bear Toss, a Brad Mills goal and more fun from Maverik Center in a tough loss Friday. See you tomorrow at 7! http://t.co/ytoBfqfW	teddy bear toss a brad mills goal and more fun from maverik center in a tough loss friday see you tomorrow at @number @link	teddy,bear,toss,a,brad,mills,goal,and,more,fun,from,maverik,center,in,a,tough,loss,friday,see,you,tomorrow,at,@number,@link	positive
@rhymesayers a close 2nd is playing nothing but RSE on my drive to Soundset from California. Then nothing but RSE on the way back.	@rhymesayers a close @number is playing nothing but rse on my drive to soundset from california then nothing but rse on the way back	@rhymesayers,a,close,@number,is,playing,nothing,but,rse,on,my,drive,to,soundset,from,california,then,nothing,but,rse,on,the,way,back	negative
Dr Joe will kick off his Australian Tour with a lecture at The Conscious Club in Sydney, Australia, Thursday, May 17!  http://t.co/uaqUTMgO	dr joe will kick off his australian tour with a lecture at the conscious club in sydney australia thursday may @number @link	dr,joe,will,kick,off,his,australian,tour,with,a,lecture,at,the,conscious,club,in,sydney,australia,thursday,may,@number,@link	neutral
Have a lovely Sunday and keep it MYSA	have a lovely sunday and keep it mysa	have,a,lovely,sunday,and,keep,it,mysa	positive
SAVE THE DATE !! Next saturday, the 14th of december, Circoloco is back at Showcase - Paris Live Club with Dan... http://t.co/kNbJQH86	save the date next saturday the @number of december circoloco is back at showcase paris live club with dan @link	save,the,date,next,saturday,the,@number,of,december,circoloco,is,back,at,showcase,paris,live,club,with,dan,@link	neutral
